date,value
2014-10-31,1.0829713478992837
2014-11-30,1.09050693381906
2014-12-31,1.1132936458690108
2015-01-31,1.1498132187454297
2015-02-28,1.1669405258766923
2015-03-31,1.16925129919526
2015-04-30,1.1646160115869535
2015-05-31,1.1588448717872162
2015-06-30,1.154237138698599
2015-07-31,1.1576826226947143
2015-08-31,1.1599933664525879
2015-09-30,1.1588414365951374
2015-10-31,1.157691792312801
2015-11-30,1.1519776176222147
2015-12-31,1.1317674839797198
2016-01-31,1.1001782086809593
2016-02-29,1.082954283691825
2016-03-31,1.0754634931919802
2016-04-30,1.0743933802634311
2016-05-31,1.0743933802634311
2016-06-30,1.0765378780284278
2016-07-31,1.0733338962485812
2016-08-31,1.0690576655862365
2016-09-30,1.0648069392817185
2016-10-31,1.061634723971048
